image_file,category_id,category_name,correlation
2007_000027.jpg,14,person,0.1434860117239554
2007_000032.jpg,0,aeroplane,0.4857650788180187
2007_000032.jpg,14,person,0.4857650788180187
2007_000033.jpg,0,aeroplane,0.2899956445421975
2007_000039.jpg,19,tvmonitor,0.15004004488324568
2007_000042.jpg,18,train,0.5182940379129349
2007_000061.jpg,3,boat,0.22356991096272985
2007_000063.jpg,8,chair,-0.6141588405789644
2007_000063.jpg,11,dog,-0.6141588405789644
2007_000068.jpg,2,bird,0.30153096196409485
2007_000121.jpg,19,tvmonitor,-0.3451111139976788
2007_000123.jpg,18,train,0.27672538158151866
2007_000129.jpg,1,bicycle,0.2987086784970725
2007_000129.jpg,14,person,0.2987086784970725
2007_000170.jpg,14,person,0.3933771510677448
2007_000170.jpg,4,bottle,0.3933771510677448
2007_000175.jpg,16,sheep,0.539686654065699
2007_000187.jpg,19,tvmonitor,0.6176608575279425
2007_000241.jpg,3,boat,0.55456660231767
2007_000243.jpg,0,aeroplane,0.8373289188258347
2007_000250.jpg,10,diningtable,0.7845990998087148
2007_000250.jpg,4,bottle,0.7845990998087148
2007_000256.jpg,0,aeroplane,0.4838532764337208
2007_000272.jpg,14,person,-0.020916319171767568
2007_000323.jpg,14,person,0.23658720596993615
2007_000332.jpg,12,horse,0.6576920147743499
2007_000333.jpg,18,train,0.4577314690531199
2007_000346.jpg,14,person,0.49963032773991667
2007_000346.jpg,4,bottle,0.49963032773991667
2007_000363.jpg,2,bird,0.3072392048909735
2007_000364.jpg,13,motorbike,0.48220346177650886
2007_000364.jpg,14,person,0.48220346177650886
2007_000392.jpg,14,person,0.2695239717332618
2007_000392.jpg,12,horse,0.2695239717332618
2007_000423.jpg,14,person,0.37804334542570694
2007_000452.jpg,8,chair,-0.022605489693589834
2007_000452.jpg,17,sofa,-0.022605489693589834
2007_000464.jpg,9,cow,0.6822071868153557
2007_000480.jpg,0,aeroplane,0.6448978437113441
2007_000480.jpg,14,person,0.6448978437113441
